UsedAIPreviously,ChatGPT,Dalle,ChatSonic,Claude,Bard.AI,LaMDA,Jasper.chat,Socratic,Bing.AI,Other,HowManyTimesUsedLastMonth,AIReliableInfo,AICreateUsefulThings,AIProvidesAccurateInfo,AIEasyToUse,AIEnjoyableToUse,IFearOthersUseofAI,AIWillChangeMyLife,FriendsUseAIPersonalLives,FriendsUseAIStudyLives,IUseAIToSupportStudies,AIIsValuableToMe,AIComplexToUse,AIHelpsMeLearn,LecturersUseAISupportTeaching,IUseAIToPlanWork,IUseAIToHelpMeCreateWork,AISystemsWontHelpMeStudy,UniShouldBeAwareHowAIUsed,EasyToCheatWithAI,EasyCatchAICheats,AISystemsGaveMeInaccurateinfo,UniShouldShowMeHowToUseAI,AISystemsWillDevelopSafely,GovernmentsMustDoMoreToProtectFromAI,AISystemsWillBecomeSentient,AISystemsPoseNoDangerToUs,Gender,QualificationStudied,Year,Region
Yes,1,0,0,0,0,0,0,0,0,0,10,Neither agree/disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,NA,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Strongly disagree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1399,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Strongly disagree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Strongly disagree,Neither agree/disagree,Strongly disagree,Strongly disagree,NA,Agree,Strongly disagree,NA,Strongly agree,NA,Strongly agree,NA,Agree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Female,"A-level, level 3 or equivalent",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,3,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,NA,NA,Disagree,NA,Disagree,NA,NA,NA,Agree,NA,NA,Neither agree/disagree,Strongly disagree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,0,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Female,"A-level, level 3 or equivalent",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,12,Agree,Agree,Agree,Strongly agree,Agree,Neither agree/disagree,Agree,Agree,Agree,NA,Agree,Disagree,Agree,NA,Disagree,NA,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neither agree/disagree,Strongly disagree,NA,Disagree,Disagree,NA,Agree,NA,Agree,NA,NA,Strongly disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,6,Agree,Agree,Agree,Strongly agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Agree,Neither agree/disagree,Disagree,Strongly agree,NA,Agree,NA,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,NA,Disagree,Agree,Agree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,Agree,NA,NA,Neither agree/disagree,Strongly agree,Strongly disagree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",999,Americas
Yes,1,1,0,0,0,0,0,0,1,0,15,Disagree,Agree,Strongly disagree,Strongly agree,Neither agree/disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree/disagree,Strongly disagree,NA,Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,1,0,0,0,0,0,0,0,0,6,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,NA,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Africa
Yes,1,1,0,0,1,0,0,0,1,0,8,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,NA,NA,Disagree,Strongly agree,Strongly agree,NA,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Male,BTEC HNC or equivalent,2003,Africa
Yes,1,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Neither agree/disagree,Strongly agree,Neither agree/disagree,Strongly agree,Agree,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,NA,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1999,United Kingdom
Yes,1,0,0,0,0,0,0,0,1,0,1,Agree,Strongly agree,Neither agree/disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,NA,Agree,Agree,Disagree,Agree,Disagree,NA,Agree,NA,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2001,United Kingdom
Yes,1,0,0,0,1,0,0,0,1,0,15,Agree,Agree,Neither agree/disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Male,,2003,Other
Yes,1,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Disagree,Disagree,NA,Strongly disagree,Strongly disagree,Disagree,NA,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Neither agree/disagree,Strongly disagree,Male,MBChB,2003,Africa
Yes,1,0,0,0,1,1,0,0,1,0,6,Agree,Strongly agree,Neither agree/disagree,Strongly agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Africa
Yes,1,0,0,0,0,0,0,0,0,0,8,Agree,Agree,Neither agree/disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,NA,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,1,0,7,Agree,Agree,Neither agree/disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree/disagree,Disagree,NA,NA,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Strongly disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,NA,NA,Strongly disagree,Disagree,Agree,Agree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,4,Agree,Agree,Neither agree/disagree,Agree,Agree,Disagree,Neither agree/disagree,Strongly agree,Strongly agree,Agree,Neither agree/disagree,Disagree,Agree,NA,Disagree,NA,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree/disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Africa
Yes,1,0,0,0,0,0,0,0,0,0,3,Agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Disagree,Agree,Agree,NA,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,5,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Agree,Agree,NA,NA,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2001,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,0,Disagree,Agree,Disagree,Agree,Neither agree/disagree,Strongly agree,Strongly disagree,Neither agree/disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2000,European Union
Yes,1,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,NA,NA,NA,Strongly disagree,Agree,Strongly agree,Disagree,Male,"A-level, level 3 or equivalent",2007,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Strongly disagree,Strongly disagree,Neither agree/disagree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Agree,Strongly disagree,Disagree,Neither agree/disagree,Disagree,NA,Disagree,Disagree,NA,Agree,Agree,NA,NA,Agree,Agree,Agree,Neither agree/disagree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Neither agree/disagree,Strongly agree,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,NA,NA,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,NA,Disagree,Strongly agree,Strongly agree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,1,0,0,0,1,0,3,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Strongly agree,Strongly agree,Neither agree/disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,NA,Neither agree/disagree,Agree,Disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,3,Agree,Agree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,NA,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,NA,Neither agree/disagree,Strongly agree,Neither agree/disagree,Disagree,Female,"A-level, level 3 or equivalent",2007,United Kingdom
Yes,0,0,0,0,0,0,0,0,0,0,3,Neither agree/disagree,Agree,Disagree,Agree,Neither agree/disagree,Disagree,Disagree,Agree,Neither agree/disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,NA,Agree,Disagree,Strongly agree,Agree,Agree,Neither agree/disagree,Disagree,Male,"GCSE, level 2 or equivalent",,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,47,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree/disagree,Strongly disagree,Strongly disagree,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Prefer not to say,"Undergraduate degree or equivalent (BSc, BA etc.)",1999,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Agree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Neither agree/disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,NA,Disagree,Strongly agree,Disagree,Agree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,7,Agree,Strongly agree,Disagree,Neither agree/disagree,Agree,Strongly agree,Disagree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,NA,Strongly agree,Neither agree/disagree,Strongly agree,Strongly disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,1,4,Disagree,Agree,Neither agree/disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,NA,NA,Agree,Agree,Neither agree/disagree,Disagree,Agree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,1,0,0,0,0,0,2,Disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Disagree,Disagree,NA,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,3,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Agree,Strongly agree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,NA,Disagree,Disagree,NA,Strongly agree,Strongly agree,Agree,Agree,NA,Neither agree/disagree,Agree,Disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,NA,Disagree,Strongly disagree,Strongly disagree,NA,Agree,Agree,NA,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",1999,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,2,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,NA,Agree,NA,NA,Agree,Agree,NA,Agree,NA,Neither agree/disagree,Agree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Neither agree/disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,NA,NA,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1995,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,2,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree/disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,NA,Agree,NA,Strongly agree,Neither agree/disagree,Agree,Disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1988,United Kingdom
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"note: 0 means ""no"", a 1 means ""yes""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
